FACÇÃO-SÃO JOÃO DE MERITI-TREZENTOS,6
MILÍCIA-SÃO JOÃO DE MERITI-TREZENTOS,2
MILÍCIA-QUEIMADOS-TRÊS FONTES,1
MILÍCIA-NOVA IGUAÇU-TRÊS CORAÇÕES,1
FACÇÃO-SÃO JOÃO DE MERITI-TOMAZINHO,75
MILÍCIA-SÃO JOÃO DE MERITI-TOMAZINHO,1
FACÇÃO-RIO DE JANEIRO-TOMÁS COELHO,3
MILÍCIA-RIO DE JANEIRO-TODOS OS SANTOS,5
MILÍCIA-NOVA IGUAÇU-TINGUÁ,2
MILÍCIA-QUEIMADOS-TINGUÁ,1
FACÇÃO-RIO DE JANEIRO-TIJUCA,30
MILÍCIA-RIO DE JANEIRO-TIJUCA,9
FACÇÃO-SÃO GONÇALO-TENENTE JARDIM,4
FACÇÃO-NITERÓI-TENENTE JARDIM,3
MILÍCIA-ITAGUAÍ-TEIXEIRAS,1
MILÍCIA-RIO DE JANEIRO-TAUÁ,2
MILÍCIA-RIO DE JANEIRO-TAQUARA,236
FACÇÃO-DUQUE DE CAXIAS-TAQUARA,9
FACÇÃO-RIO DE JANEIRO-TAQUARA,4
MILÍCIA-DUQUE DE CAXIAS-TAQUARA,1
MILÍCIA-RIO DE JANEIRO-TANQUE,7
FACÇÃO-RIO DE JANEIRO-TANQUE,2
FACÇÃO-BELFORD ROXO-SUBLIME,4
MILÍCIA-BELFORD ROXO-SUBLIME,1
FACÇÃO-ITABORAÍ-SOSSEGO,5
FACÇÃO-ITAGUAÍ-SOMEL,1
FACÇÃO-BELFORD ROXO-SÍTIO RETIRO FELIZ,2
MILÍCIA-SÃO JOÃO DE MERITI-SÍTIO DOS GANSOS,1
MILÍCIA-BELFORD ROXO-SHANGRI LÁ,41
FACÇÃO-BELFORD ROXO-SHANGRI LÁ,1
FACÇÃO-SÃO GONÇALO-SETE PONTES,43
MILÍCIA-SÃO GONÇALO-SETE PONTES,1
MILÍCIA-RIO DE JANEIRO-SEPETIBA,288
FACÇÃO-RIO DE JANEIRO-SEPETIBA,2
MILÍCIA-RIO DE JANEIRO-SENADOR VASCONCELOS,15
FACÇÃO-RIO DE JANEIRO-SENADOR CAMARÁ,60
MILÍCIA-RIO DE JANEIRO-SENADOR CAMARÁ,16
FACÇÃO-RIO DE JANEIRO-SAÚDE,1
MILÍCIA-DUQUE DE CAXIAS-SARACURUNA,38
FACÇÃO-DUQUE DE CAXIAS-SARACURUNA,21
FACÇÃO-NITERÓI-SAPÊ,6
FACÇÃO-BELFORD ROXO-SÃO VICENTE,1
FACÇÃO-QUEIMADOS-SÃO SIMÃO,56
MILÍCIA-QUEIMADOS-SÃO SIMÃO,1
FACÇÃO-QUEIMADOS-SÃO ROQUE,1
FACÇÃO-SÃO GONÇALO-SÃO MIGUEL,1
MILÍCIA-SEROPÉDICA-SÃO MIGUEL,1
FACÇÃO-SÃO JOÃO DE MERITI-SÃO MATEUS,43
MILÍCIA-SÃO JOÃO DE MERITI-SÃO MATEUS,1
FACÇÃO-BELFORD ROXO-SÃO LUCAS,1
FACÇÃO-NITERÓI-SÃO LOURENÇO,3
MILÍCIA-BELFORD ROXO-SÃO LEOPOLDO,2
FACÇÃO-BELFORD ROXO-SÃO LEOPOLDO,1
FACÇÃO-MARICÁ-SÃO JOSÉ DO IMABASSAÍ,2
FACÇÃO-BELFORD ROXO-SÃO JOSÉ,24
MILÍCIA-BELFORD ROXO-SÃO JOSÉ,2
FACÇÃO-JAPERI-SÃO JORGE,14
FACÇÃO-RIO DE JANEIRO-SÃO FRANCISCO XAVIER,1
MILÍCIA-MAGÉ-SÃO FRANCISCO DO CUARÁ,1
MILÍCIA-BELFORD ROXO-SÃO FRANCISCO DE ASSIS,1
MILÍCIA-QUEIMADOS-SÃO FRANCISCO,9
FACÇÃO-NITERÓI-SÃO FRANCISCO,2
FACÇÃO-QUEIMADOS-SÃO FRANCISCO,2
FACÇÃO-NITERÓI-SÃO DOMINGOS,6
FACÇÃO-RIO DE JANEIRO-SÃO CRISTÓVÃO,38
MILÍCIA-RIO DE JANEIRO-SÃO CRISTÓVÃO,5
FACÇÃO-RIO DE JANEIRO-SÃO CONRADO,3
MILÍCIA-RIO DE JANEIRO-SÃO CONRADO,1
MILÍCIA-DUQUE DE CAXIAS-SÃO BENTO,5
FACÇÃO-DUQUE DE CAXIAS-SÃO BENTO,1
FACÇÃO-NOVA IGUAÇU-SANTOS NEVES,1
MILÍCIA-QUEIMADOS-SANTO EXPEDITO,2
MILÍCIA-MESQUITA-SANTO ELIAS,3
FACÇÃO-RIO DE JANEIRO-SANTO CRISTO,40
MILÍCIA-BELFORD ROXO-SANTO ANTÔNIO DA PRATA,10
FACÇÃO-BELFORD ROXO-SANTO ANTÔNIO DA PRATA,1
FACÇÃO-ITABORAÍ-SANTO ANTÔNIO (MANILHA),1
FACÇÃO-QUEIMADOS-SANTO ANTÔNIO,1
MILÍCIA-DUQUE DE CAXIAS-SANTO ANTÔNIO,1
MILÍCIA-MAGÉ-SANTO ALEIXO,2
FACÇÃO-MAGÉ-SANTO ALEIXO,1
MILÍCIA-RIO DE JANEIRO-SANTÍSSIMO,51
FACÇÃO-RIO DE JANEIRO-SANTÍSSIMO,2
FACÇÃO-NITERÓI-SANTANA,7
MILÍCIA-ITAGUAÍ-SANTANA,1
FACÇÃO-BELFORD ROXO-SANTA TEREZA,11
MILÍCIA-BELFORD ROXO-SANTA TEREZA,2
FACÇÃO-MESQUITA-SANTA TERESINHA,7
MILÍCIA-MESQUITA-SANTA TERESINHA,3
FACÇÃO-RIO DE JANEIRO-SANTA TERESA,16
MILÍCIA-SEROPÉDICA-SANTA SOFIA,3
FACÇÃO-NITERÓI-SANTA ROSA,13
MILÍCIA-QUEIMADOS-SANTA ROSA,1
FACÇÃO-NOVA IGUAÇU-SANTA RITA,2
MILÍCIA-NOVA IGUAÇU-SANTA RITA,1
MILÍCIA-BELFORD ROXO-SANTA MARIA,13
FACÇÃO-BELFORD ROXO-SANTA MARIA,1
FACÇÃO-SÃO GONÇALO-SANTA LUZIA,52
MILÍCIA-SÃO GONÇALO-SANTA LUZIA,1
FACÇÃO-DUQUE DE CAXIAS-SANTA LÚCIA,2
MILÍCIA-DUQUE DE CAXIAS-SANTA LÚCIA,1
FACÇÃO-SÃO GONÇALO-SANTA ISABEL,32
MILÍCIA-NOVA IGUAÇU-SANTA EUGÊNIA,1
MILÍCIA-NOVA IGUAÇU-SANTA EUGÊNCIA,1
FACÇÃO-BELFORD ROXO-SANTA EMÍLIA,15
FACÇÃO-DUQUE DE CAXIAS-SANTA CRUZ DA SERRA,21
MILÍCIA-RIO DE JANEIRO-SANTA CRUZ,362
FACÇÃO-RIO DE JANEIRO-SANTA CRUZ,38
FACÇÃO-SÃO GONÇALO-SANTA ANITA,2
FACÇÃO-BELFORD ROXO-SANTA AMÉLIA,7
FACÇÃO-DUQUE DE CAXIAS-SANO ANTÔNIO,2
MILÍCIA-DUQUE DE CAXIAS-SANO ANTÔNIO,2
FACÇÃO-RIO DE JANEIRO-SAMPAIO,3
FACÇÃO-SÃO GONÇALO-SALGUEIRO,2
FACÇÃO-SÃO GONÇALO-SACRAMENTO,65
FACÇÃO-MAGÉ-SACO,5
MILÍCIA-MAGÉ-SACO,1
FACÇÃO-PARACAMBI-SABUGO,2
MILÍCIA-PARACAMBI-SABUGO,1
FACÇÃO-NOVA IGUAÇU-ROSA DOS VENTOS,5
MILÍCIA-NOVA IGUAÇU-ROSA DOS VENTOS,1
FACÇÃO-QUEIMADOS-RONCADOR,5
FACÇÃO-MAGÉ-RONCADOR,1
MILÍCIA-QUEIMADOS-RODOVIÁRIO,1
FACÇÃO-RIO DE JANEIRO-ROCINHA,29
MILÍCIA-RIO DE JANEIRO-ROCINHA,1
FACÇÃO-MESQUITA-ROCHA SOBRINHO,17
MILÍCIA-MESQUITA-ROCHA SOBRINHO,3
FACÇÃO-RIO DE JANEIRO-ROCHA MIRANDA,29
MILÍCIA-RIO DE JANEIRO-ROCHA MIRANDA,4
FACÇÃO-RIO DE JANEIRO-ROCHA,6
FACÇÃO-SÃO GONÇALO-ROCHA,5
MILÍCIA-RIO DE JANEIRO-ROCHA,2
MILÍCIA-SÃO GONÇALO-ROCHA,1
FACÇÃO-ITABORAÍ-RIO VÁRZEA,2
FACÇÃO-SÃO GONÇALO-RIO DO OURO,25
MILÍCIA-NOVA IGUAÇU-RIO DO OURO,1
FACÇÃO-RIO DE JANEIRO-RIO COMPRIDO,33
MILÍCIA-RIO DE JANEIRO-RIO COMPRIDO,2
FACÇÃO-RIO DE JANEIRO-RICARDO DE ALBUQUERQUE,14
MILÍCIA-RIO DE JANEIRO-RICARDO DE ALBUQUERQUE,1
FACÇÃO-NOVA IGUAÇU-RIACHÃO,6
MILÍCIA-NOVA IGUAÇU-RIACHÃO,1
MILÍCIA-ITABORAÍ-RETIRO SÃO JOAQUIM,17
FACÇÃO-BELFORD ROXO-REDENTOR,8
MILÍCIA-BELFORD ROXO-REDENTOR,1
MILÍCIA-RIO DE JANEIRO-RECREIO DOS BANDEIRANTES,87
MILÍCIA-RIO DE JANEIRO-RECREIO DOS BANDEIRANDES,47
MILÍCIA-BELFORD ROXO-RECANTUS,14
FACÇÃO-BELFORD ROXO-RECANTUS,1
FACÇÃO-SÃO GONÇALO-RECANTO DAS ACÁCIAS,1
MILÍCIA-RIO DE JANEIRO-REALENGO,70
FACÇÃO-RIO DE JANEIRO-REALENGO,69
FACÇÃO-SÃO GONÇALO-RAUL VEIGA,15
MILÍCIA-NOVA IGUAÇU-RANCHO FUNDO,2
FACÇÃO-RIO DE JANEIRO-RAMOS,44
MILÍCIA-RIO DE JANEIRO-RAMOS,35
FACÇÃO-ITABORAÍ-QUISSAMÃ,1
MILÍCIA-RIO DE JANEIRO-QUINTINO BOCAIÚVA,64
FACÇÃO-RIO DE JANEIRO-QUINTINO BOCAIÚVA,4
FACÇÃO-QUEIMADOS,22
MILÍCIA-QUEIMADOS,9
MILÍCIA-NOVA IGUAÇU-PRATA,4
FACÇÃO-NOVA IGUAÇU-PRATA,3
MILÍCIA-MAGÉ-PRAIA DA ESPERANÇA,2
FACÇÃO-RIO DE JANEIRO-PRAIA DA BANDEIRA,2
MILÍCIA-RIO DE JANEIRO-PRAIA DA BANDEIRA,2
MILÍCIA-NOVA IGUAÇU-PRADOS VERDES,12
MILÍCIA-RIO DE JANEIRO-PRAÇA SECA,212
FACÇÃO-RIO DE JANEIRO-PRAÇA SECA,21
MILÍCIA-RIO DE JANEIRO-PRAÇA DA BANDEIRA,3
FACÇÃO-RIO DE JANEIRO-PRAÇA DA BANDEIRA,1
MILÍCIA-NOVA IGUAÇU-POSSE,7
FACÇÃO-NOVA IGUAÇU-POSSE,2
FACÇÃO-RIO DE JANEIRO-PORTUGUESA,2
MILÍCIA-RIO DE JANEIRO-PORTUGUESA,1
FACÇÃO-SÃO GONÇALO-PORTO VELHO,10
MILÍCIA-SÃO GONÇALO-PORTO VELHO,8
FACÇÃO-SÃO GONÇALO-PORTO ROSA,16
FACÇÃO-SÃO GONÇALO-PORTO NOVO,12
MILÍCIA-SÃO GONÇALO-PORTO NOVO,7
FACÇÃO-SÃO GONÇALO-PORTO DO ROSA,2
MILÍCIA-SÃO GONÇALO-PORTO DA PEDRA,2
MILÍCIA-NOVA IGUAÇU-PONTO CHIC,26
FACÇÃO-QUEIMADOS-PONTE PRETA,2
MILÍCIA-QUEIMADOS-PONTE PRETA,2
FACÇÃO-MARICÁ-PONTA NEGRA,1
MILÍCIA-MARICÁ-PONTA NEGRA,1
FACÇÃO-RIO DE JANEIRO-PITANGUEIRAS,4
MILÍCIA-RIO DE JANEIRO-PITANGUEIRAS,1
MILÍCIA-RIO DE JANEIRO-PITANGUEIRA,1
FACÇÃO-SÃO GONÇALO-PITA,20
FACÇÃO-NITERÓI-PIRATININGA,14
MILÍCIA-NITERÓI-PIRATININGA,2
MILÍCIA-SEROPÉDICA-PIRANEMA,3
MILÍCIA-TANGUÁ-PINHÃO,1
MILÍCIA-MARICÁ-PINDOBAL,1
MILÍCIA-RIO DE JANEIRO-PILARES,26
FACÇÃO-RIO DE JANEIRO-PILARES,6
MILÍCIA-DUQUE DE CAXIAS-PILAR,13
FACÇÃO-RIO DE JANEIRO-PIEDADE,39
MILÍCIA-RIO DE JANEIRO-PIEDADE,26
FACÇÃO-BELFORD ROXO-PIAM,9
MILÍCIA-BELFORD ROXO-PIAM,3
MILÍCIA-MAGÉ-PIABETÁ,9
FACÇÃO-MAGÉ-PIABETÁ,2
FACÇÃO-DUQUE DE CAXIAS-PERIQUITOS,1
FACÇÃO-RIO DE JANEIRO-PENHA CIRCULAR,10
MILÍCIA-RIO DE JANEIRO-PENHA CIRCULAR,9
FACÇÃO-RIO DE JANEIRO-PENHA,31
MILÍCIA-RIO DE JANEIRO-PENHA,3
FACÇÃO-NITERÓI-PENDOTIBA,13
MILÍCIA-RIO DE JANEIRO-PEDRA DE GUARATIBA,29
MILÍCIA-RIO DE JANEIRO-PEDRA DE  GUARATIBA,1
FACÇÃO-RIO DE JANEIRO-PAVUNA,99
MILÍCIA-RIO DE JANEIRO-PAVUNA,3
FACÇÃO-BELFORD ROXO-PAULINE,20
MILÍCIA-BELFORD ROXO-PAULINE,1
FACÇÃO-SÃO GONÇALO-PATRONATO,4
FACÇÃO-DUQUE DE CAXIAS-PARUQE BOA VISTA II,1
MILÍCIA-DUQUE DE CAXIAS-PARQUE XERÉM,1
MILÍCIA-DUQUE DE CAXIAS-PARQUE VITÓRIA,2
FACÇÃO-DUQUE DE CAXIAS-PARQUE VILA NOVA,2
FACÇÃO-BELFORD ROXO-PARQUE VENEZA,1
MILÍCIA-QUEIMADOS-PARQUE VALDAIROSA,7
FACÇÃO-QUEIMADOS-PARQUE VALDAIROSA,2
MILÍCIA-DUQUE DE CAXIAS-PARQUE URUGUAIANA,8
FACÇÃO-BELFORD ROXO-PARQUE UNIÃO 4,1
FACÇÃO-SÃO JOÃO DE MERITI-PARQUE TIETÊ,4
FACÇÃO-NOVA IGUAÇU-PARQUE SÃO VICENTE DE PAULO,3
MILÍCIA-NOVA IGUAÇU-PARQUE SÃO VICENTE DE PAULO,1
MILÍCIA-BELFORD ROXO-PARQUE SÃO VICENTE,2
FACÇÃO-BELFORD ROXO-PARQUE SÃO VICENTE,1
MILÍCIA-JAPERI-PARQUE SÃO SEBASTIÃO,1
MILÍCIA-DUQUE DE CAXIAS-PARQUE SÃO PEDRO DE ALCÂNTARA,14
FACÇÃO-SÃO JOÃO DE MERITI-PARQUE SÃO NICOLAU,74
MILÍCIA-SÃO JOÃO DE MERITI-PARQUE SÃO NICOLAU,3
MILÍCIA-DUQUE DE CAXIAS-PARQUE SÃO JOÃO,3
FACÇÃO-NOVA IGUAÇU-PARQUE SÃO CARLOS,4
MILÍCIA-DUQUE DE CAXIAS-PARQUE SÃO CARLOS,3
FACÇÃO-DUQUE DE CAXIAS-PARQUE SÃO BENTO,1
FACÇÃO-JAPERI-PARQUE SÃO BENEDITO,1
MILÍCIA-BELFORD ROXO-PARQUE SANTA RITA,1
MILÍCIA-DUQUE DE CAXIAS-PARQUE SANTA LÚCIA,2
FACÇÃO-DUQUE DE CAXIAS-PARQUE SANTA LÚCIA,1
FACÇÃO-BELFORD ROXO-PARQUE SANTA BRANCA,3
FACÇÃO-BELFORD ROXO-PARQUE ROSEIRAL,13
FACÇÃO-BELFORD ROXO-PARQUE RENASCENÇA,1
FACÇÃO-DUQUE DE CAXIAS-PARQUE PAULISTA,35
MILÍCIA-DUQUE DE CAXIAS-PARQUE PAULISTA,2
MILÍCIA-DUQUE DE CAXIAS-PARQUE PAULICÉIA,2
MILÍCIA-SÃO JOÃO DE MERITI-PARQUE NOVO RIO,11
FACÇÃO-SÃO JOÃO DE MERITI-PARQUE NOVO RIO,4
MILÍCIA-BELFORD ROXO-PARQUE NOSSA SENHORA APRECIDA,2
MILÍCIA-DUQUE DE CAXIAS-PARQUE MUÍSA,2
FACÇÃO-JAPERI-PARQUE MUCAJÁ,1
FACÇÃO-DUQUE DE CAXIAS-PARQUE LAGUNA E DOURADOS,1
MILÍCIA-DUQUE DE CAXIAS-PARQUE LAFAIETE,13
FACÇÃO-DUQUE DE CAXIAS-PARQUE LAFAIETE,2
MILÍCIA-SÃO JOÃO DE MERITI-PARQUE JURUTI,17
MILÍCIA-QUEIMADOS-PARQUE JURUTI,2
FACÇÃO-BELFORD ROXO-PARQUE JORDÃO,1
FACÇÃO-DUQUE DE CAXIAS-PARQUE JOÃO PESSOA,11
MILÍCIA-DUQUE DE CAXIAS-PARQUE JOÃO PESSOA,5
MILÍCIA-SEROPÉDICA-PARQUE JACIMAR,1
MILÍCIA-QUEIMADOS-PARQUE IPANEMA,1
MILÍCIA-DUQUE DE CAXIAS-PARQUE INDEPENDÊNCIA,11
FACÇÃO-DUQUE DE CAXIAS-PARQUE IMPÉRIO,1
FACÇÃO-JAPERI-PARQUE GUANDU,11
MILÍCIA-DUQUE DE CAXIAS-PARQUE FLUMINENSE,6
MILÍCIA-BELFORD ROXO-PARQUE FLUMINENSE,1
MILÍCIA-BELFORD ROXO-PARQUE FLORESTA,1
FACÇÃO-NOVA IGUAÇU-PARQUE FLORA,2
MILÍCIA-NOVA IGUAÇU-PARQUE FLORA,1
MILÍCIA-GUAPIMIRIM-PARQUE FLEIXAL,1
FACÇÃO-DUQUE DE CAXIAS-PARQUE FELICIDADE,3
MILÍCIA-DUQUE DE CAXIAS-PARQUE FELICIDADE,1
FACÇÃO-DUQUE DE CAXIAS-PARQUE ESTRELA,3
MILÍCIA-DUQUE DE CAXIAS-PARQUE ESTRELA,1
FACÇÃO-BELFORD ROXO-PARQUE ESPERANÇA,14
MILÍCIA-BELFORD ROXO-PARQUE ESPERANÇA,2
FACÇÃO-DUQUE DE CAXIAS-PARQUE ELDORADO,5
MILÍCIA-NOVA IGUAÇU-PARQUE DO LARANJAL,4
FACÇÃO-MAGÉ-PARQUE DO IMPERADOR,14
FACÇÃO-DUQUE DE CAXIAS-PARQUE DAS MISSÕES,9
FACÇÃO-BELFORD ROXO-PARQUE COLONIAL,5
FACÇÃO-DUQUE DE CAXIAS-PARQUE CHUNO,15
MILÍCIA-DUQUE DE CAXIAS-PARQUE CHUNO,3
FACÇÃO-DUQUE DE CAXIAS-PARQUE CENTENÁRIO,2
FACÇÃO-DUQUE DE CAXIAS-PARQUE CAPIVARI,2
FACÇÃO-DUQUE DE CAXIAS-PARQUE BOA VISTA II,1
