Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate
January,Economy,UK,EEA,286,BRITISH AIRWAYS,Immigration Group
January,Business Class,UK,UK,204,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,76,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,68,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,68,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,205,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Business Class,UK,Non EEA,2609,VIRGIN ATLANTIC,OSCT
February,Economy,UK,UK,56,BMI,Strategic Director Border
January,Economy,UK,UK,190,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,Non EEA,283,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,60,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,164,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,124,BRITISH AIRWAYS,Criminal & Detention Group
January,Economy,UK,UK,15,BRITISH AIRWAYS,Immigration Group
January,Economy,UK,UK,60,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,EEA,294,SAS SCANDINAVIAN AIRLINES,Crime & Policing Group
February,Economy,UK,EEA,335,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,EEA,355,BRITISH AIRWAYS,Private Office
January,Economy,UK,EEA,355,BRITISH AIRWAYS,Private Office
January,Economy,UK,UK,12,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,76,BRITISH AIRWAYS,HROD
January,Economy,UK,UK,209,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Economy,UK,UK,246,BMI,Strategic Director Border
January,Business Class,UK,UK,239,BRITISH AIRWAYS,Science & Research Group
January,Economy,UK,UK,189,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,107,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,135,BMI,Strategic Director Border
January,Economy,UK,UK,168,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,154,BMI,Strategic Director Border
February,Economy,UK,UK,56,BMI,Strategic Director Border
February,Economy,UK,UK,45,BRITISH AIRWAYS,Strategic Director Border
February,Economy,UK,UK,65,EASYJET,Immigration Group
February,Economy,UK,EEA,294,SAS SCANDINAVIAN AIRLINES,Crime & Policing Group
February,Economy,UK,EEA,335,BRITISH AIRWAYS,Crime & Policing Group
January,Economy,UK,UK,41,BRITISH AIRWAYS,HMIC
January,Economy,UK,UK,164,BRITISH AIRWAYS,Resource Management Group
January,Economy,UK,UK,296,BMI,Crime & Policing Group
February,Economy,UK,UK,102,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,EEA,99,RYANAIR,Policy & Strategy
January,Economy,UK,UK,101,FLYBE BRITISH EUROPEAN,Strategic Director Border
January,Business Class,UK,UK,157,BRITISH AIRWAYS,Strategic Director Border
January,Economy,UK,UK,61,BRITISH AIRWAYS,Strategic Director Border
March,Economy,UK,UK,72,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,123,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,UK,189,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,Non EEA,UK,731,BRITISH AIRWAYS,OSCT
February,Economy,UK,UK,137,FLYBE BRITISH EUROPEAN,Immigration Group
January,Economy,UK,EEA,237,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,120,BRITISH AIRWAYS,Immigration Group
February,Economy,UK,EEA,335,BRITISH AIRWAYS,Crime & Policing Group
March,Economy,UK,UK,95,BRITISH AIRWAYS,Strategy & Reform Directorate
March,Economy,UK,UK,77,BRITISH AIRWAYS,Strategy & Reform Directorate
January,Economy,UK,Non EEA,283,BRITISH AIRWAYS,Policy & Strategy
January,Economy,UK,UK,99,EASYJET,Science & Research Group
